unamed,ticker,company_name,median_worker_pay,pay_ratio,ceo_name,salary,industry
547,REI,"Ring Energy, Inc.",151004,23,Paul McKinney,3493117,Energy
934,WD,"Walker & Dunlop, Inc.",150605,50,William Walker,7558968,Financials
774,LC,LendingClub Corp.,149879,46,Scott Sanborn,6938099,Financials
1728,MNTV,"Momentive Global, Inc.",149828,44,Alexander Lurie,6623807,Information Technology
948,ABBV,AbbVie Inc.,149662,160,Richard Gonzalez,23912154,Health Care
912,TWO,Two Harbors Investment Corp.,149650,32,William Greenberg,4737627,Financials
2089,SRG,Seritage Growth Properties,149500,37,Andrea Olshan,5535608,Real Estate
542,PDCE,"PDC Energy, Inc.",149294,66,Barton Brookman,9824238,Energy
1172,REGN,"Regeneron Pharmaceuticals, Inc.",149250,43,Leonard Schleifer,6470514,Health Care
524,MPC,Marathon Petroleum Corporation,148850,142,Michael Hennigan,21185206,Energy
998,BMY,Bristol-Myers Squibb Company,148649,133,Giovanni Caforio,19784806,Health Care
862,RWT,"Redwood Trust, Inc.",148581,92,Christopher Abate,13598971,Financials
488,CRC,California Resources Corporation,148345,119,Mark McFarland,17583281,Energy
535,OAS,Chord Energy Corp.,148027,102,Daniel Brown,15109345,Energy
2161,PPL,PPL Corporation,147670,77,Vincent Sorgi,11356481,Utilities
507,GEVO,"Gevo, Inc.",146870,75,Patrick Gruber,11018879,Energy
520,LPG,Dorian LPG Ltd.,146670,16,John Hadjipateras,2359438,Energy
1384,HURN,Huron Consulting Group Inc.,146370,25,James Roth,3595855,Industrials
2157,PEG,Public Service Enterprise Group Incorporated,146034,97,Ralph Izzo,14208674,Utilities
1653,DMRC,Digimarc Corporation,145500,2,Riley McCormack,290072,Information Technology
294,QS,QuantumScape Corp.,145391,475,Jagdeep Singh,69102285,Consumer Discretionary
1335,EXPO,"Exponent, Inc.",145375,21,Catherine Corrigan,3022417,Industrials
2140,IDA,"IDACORP, Inc.",145169,39,Lisa Grow,5645525,Utilities
362,WISH,"ContextLogic, Inc.",145046,3,Piotr Szulczewski,450000,Consumer Discretionary
1972,AIV,Apartment Investment and Management Company,144781,38,Wesley Powell,5445198,Real Estate
1115,MNKD,MannKind Corporation,144613,28,Michael Castagna,4030833,Health Care
1778,PTC,PTC Inc.,143681,90,James Heppelmann,12887116,Information Technology
2112,Z,"Zillow Group, Inc.",143626,146,Richard Barton,20955934,Real Estate
1102,LNTH,"Lantheus Holdings, Inc.",143384,43,Mary Heino,6185144,Health Care
56,NYT,The New York Times Company,143071,40,Meredith Levien,5755526,Communication Services
1927,NUE,Nucor Corporation,142635,81,Leon Topalian,11618019,Materials
431,MO,"Altria Group, Inc.",142614,89,William Gifford Jr.,12626972,Consumer Staples
559,TPL,Texas Pacific Land Corp.,142600,35,Tyler Glover,4969831,Energy
1755,OLED,Universal Display Corporation,142398,74,Steven Abramson,10531257,Information Technology
1757,ONTO,"Onto Innovation, Inc.",142265,36,Michael Plisinski,5134310,Information Technology
1791,RPD,"Rapid7, Inc.",142145,75,Corey Thomas,10634202,Information Technology
1022,CSII,"Cardiovascular Systems, Inc.",141945,31,Scott Ward,4344399,Health Care
2128,CWT,California Water Service Group,140847,26,Martin Kropelnicki,3718087,Utilities
604,AXS,Axis Capital Holdings Limited,140734,66,Albert Benchimol,9311214,Financials
71,SSTK,"Shutterstock, Inc.",140603,41,Stan Pavlovsky,5717651,Communication Services
1087,ISRG,"Intuitive Surgical, Inc.",140163,58,Gary Guthart,8059409,Health Care
69,SIRI,"Sirius XM Holdings, Inc.",139882,233,Jennifer Witz,32641874,Communication Services
1083,IQV,"IQVIA Holdings, Inc.",139803,205,Ari Bousbib,28615851,Health Care
1680,FSLR,"First Solar, Inc.",139587,47,Mark Widmar,6542454,Information Technology
1655,DOMO,"Domo, Inc.",139398,57,Joshua James,8007285,Information Technology
1799,SLAB,Silicon Laboratories Inc.,139332,122,G. Tuttle,17016409,Information Technology
1188,SLP,"Simulations Plus, Inc.",138664,10,Shawn O'Connor,1342852,Health Care
521,LPI,"Laredo Petroleum, Inc.",138492,43,Jason Pigott,5933849,Energy
2139,HE,"Hawaiian Electric Industries, Inc.",138267,43,Constance Lau,5933523,Utilities
907,TROW,"T. Rowe Price Group, Inc.",138173,124,William Stromberg,17127330,Financials
1720,MAPS,"WM Technology, Inc.",138000,77,Christopher Beals,10614467,Information Technology
798,MTG,MGIC Investment Corporation,137827,46,Timothy Mattke,6385557,Financials
2166,SRE,Sempra Energy,137800,179,Jeffrey Martin,24675982,Utilities
794,MS,Morgan Stanley,137069,255,James Gorman,34941635,Financials
1223,VNDA,Vanda Pharmaceuticals Inc.,137059,45,Mihael Polymeropoulos,6194157,Health Care
1575,ADSK,"Autodesk, Inc.",137042,161,Andrew Anagnost,22095521,Information Technology
1833,VMW,"VMware, Inc.",136971,236,Rangarajan Raghuram,32344107,Information Technology
2159,PNW,Pinnacle West Capital Corporation,136805,59,Jeffrey Guldner,8100157,Utilities
281,PHM,"PulteGroup, Inc.",136630,118,Ryan Marshall,16149555,Consumer Discretionary
2130,DTE,DTE Energy Company,136472,82,Gerardo Norcia,11128277,Utilities
2057,O,Realty Income Corporation,136304,94,Sumit Roy,12861011,Real Estate
1526,TRTN,Triton International Ltd.,136223,42,Brian Sondey,5768732,Industrials
2124,CMS,CMS Energy Corporation,135987,51,Garrick Rochow,6871068,Utilities
1618,BTRS,"BTRS Holdings, Inc.",135869,62,Flint Lane,8428621,Information Technology
494,DINO,HF Sinclair Corp,135851,84,Michael Jennings,11473664,Energy
1237,AAWW,"Atlas Air Worldwide Holdings, Inc.",135543,19,John Dietrich,2532231,Industrials
167,EBAY,eBay Inc.,135528,160,Jamie Iannone,21685102,Consumer Discretionary
1125,NARI,"Inari Medical, Inc.",135448,28,William Hoffman,3771486,Health Care
1186,SIGA,"SIGA Technologies, Inc.",135336,12,Phillip Gomez,1688264,Health Care
2135,ETR,Entergy Corporation,135272,126,Leo Denault,17045744,Utilities
1784,RAMP,"LiveRamp Holdings, Inc.",134969,63,Scott Howe,8457367,Information Technology
2116,AGR,"Avangrid, Inc.",134891,103,Dennis Arriola,13899563,Utilities
1112,MGNX,"MacroGenics, Inc.",134627,36,Scott Koenig,4868514,Health Care
1007,CDXS,"Codexis, Inc.",134525,26,John Nicols,3438179,Health Care
132,CHH,"Choice Hotels International, Inc.",134099,83,Patrick Pacious,11153040,Consumer Discretionary
980,ATRC,"AtriCure, Inc.",133905,56,Michael Carrel,7535074,Health Care
481,CHK,Chesapeake Energy Corporation,133645,58,Domenic Dell'Osso Jr.,7688937,Energy
1652,DLB,"Dolby Laboratories, Inc.",133439,70,Kevin Yeaman,9407217,Information Technology
1132,NSTG,"NanoString Technologies, Inc.",133439,43,R. Gray,5771962,Health Care
2136,EVRG,"Evergy, Inc.",133369,84,David Campbell,11138082,Utilities
1696,INSG,Inseego Corp.,133330,44,Dan Mondor,5862494,Information Technology
2134,ES,Eversource Energy,133297,49,Joseph Nolan Jr.,6467078,Utilities
1120,MRNA,"Moderna, Inc.",133074,136,Stephane Bancel,18155739,Health Care
1136,NVAX,"Novavax, Inc.",133050,8,Stanley Erck,1118030,Health Care
616,BHF,"Brighthouse Financial, Inc.",132963,60,Eric Steigerwalt,7914025,Financials
1447,NKLA,Nikola Corp.,132910,42,Mark Russell,5609642,Industrials
1749,NTCT,"NetScout Systems, Inc.",132816,29,Anil Singhal,3908422,Information Technology
2132,ED,"Consolidated Edison, Inc.",132803,78,Timothy Cawley,10342198,Utilities
2144,NEE,"NextEra Energy, Inc.",132798,191,James Robo,25335936,Utilities
2164,SO,The Southern Company,132450,160,Thomas Fanning,21243559,Utilities
2113,AEE,Ameren Corporation,132415,74,Warner Baxter,9807836,Utilities
1735,MTSI,"MACOM Technology Solutions Holdings, Inc.",132346,24,Stephen Daly,3175058,Information Technology
1704,JNPR,"Juniper Networks, Inc.",132117,90,Rami Rahim,11870290,Information Technology
950,ABMD,"ABIOMED, Inc.",131893,96,Michael Minogue,12665992,Health Care
1340,FCN,"FTI Consulting, Inc.",131613,60,Steven Gunby,7910637,Industrials
1660,EGHT,"8x8, Inc.",131603,51,David Sipes,6670866,Information Technology
1871,BLL,Ball Corporation,131452,106,John Hayes,13924380,Materials
569,WTI,"W&T Offshore, Inc.",130704,42,Tracy Krohn,5492721,Energy
965,AMGN,Amgen Inc.,130589,166,Robert Bradway,21721154,Health Care
484,CLNE,Clean Energy Fuels Corp.,130294,83,Andrew Littlefair,10811193,Energy
1190,SRNE,"Sorrento Therapeutics, Inc.",130192,152,Henry Ji,19777329,Health Care
779,LPRO,Open Lending Corp.,129646,18,John Flynn,2299501,Financials
480,CEIX,CONSOL Energy Inc.,129548,55,James Brock,7115513,Energy
1960,VHI,"Valhi, Inc.",129210,58,Robert Graham,7430000,Materials
854,RILY,"B. Riley Financial, Inc.",129200,155,Bryant Riley,20006438,Financials
576,ACGL,Arch Capital Group Ltd.,129028,72,Marc Grandisson,9336013,Financials
592,AMP,"Ameriprise Financial, Inc.",129010,165,James Cracchiolo,21229464,Financials
1048,EXAS,Exact Sciences Corporation,128893,114,Kevin Conroy,14632240,Health Care
1989,CCI,Crown Castle Inc.,128795,113,Jay Brown,14553510,Real Estate
2158,PNM,"PNM Resources, Inc.",128500,44,Patricia Collawn,5594739,Utilities
1879,CF,"CF Industries Holdings, Inc.",128415,91,W. Will,11685670,Materials
504,ETRN,Equitrans Midstream Corp.,128415,81,Thomas Karam,10349548,Energy
1194,SUPN,"Supernus Pharmaceuticals, Inc.",128385,63,Jack Khattar,8116721,Health Care
1817,TER,"Teradyne, Inc.",128299,85,Mark Jagiela,10954713,Information Technology
1587,AMD,"Advanced Micro Devices, Inc.",128263,230,Lisa Su,29498107,Information Technology
1388,HYLN,Hyliion Holdings Corp.,128157,41,Thomas Healy,5254750,Industrials
1718,MA,Mastercard Incorporated,128154,126,Michael Miebach,16120055,Information Technology
525,MRO,Marathon Oil Corporation,128010,102,Lee Tillman,12997292,Energy
222,KBH,KB Home,127680,113,Jeffrey Mezger,14366518,Consumer Discretionary
1595,APPN,Appian Corporation,127200,8,Matthew Calkins,981848,Information Technology
610,BEN,"Franklin Resources, Inc.",126915,124,Jennifer Johnson,15734999,Financials
1949,STLD,"Steel Dynamics, Inc.",126721,87,Mark Millett,10999918,Materials
1428,MAXR,"Maxar Technologies, Inc.",126499,55,Daniel Jablonsky,6992563,Industrials
49,MGNI,"Magnite, Inc.",126485,145,Michael Barrett,18291589,Communication Services
1830,VECO,Veeco Instruments Inc.,126403,36,William Miller,4526501,Information Technology
1750,NTGR,"NETGEAR, Inc.",126306,41,Patrick Lo,5221876,Information Technology
2149,NRG,"NRG Energy, Inc.",126289,86,Mauricio Gutierrez,10854224,Utilities
2152,OGE,OGE Energy Corp.,125889,64,Sean Trauschke,8031634,Utilities
2021,FRT,Federal Realty Investment Trust,125770,60,Donald Wood,7520917,Real Estate
745,HLNE,"Hamilton Lane, Inc.",125743,6,Mario Giannini,711477,Financials
879,SIVB,SVB Financial Group,125638,79,Greg Becker,9922132,Financials
1783,QTWO,"Q2 Holdings, Inc.",125624,63,Matthew Flake,7882965,Information Technology
758,ICE,"Intercontinental Exchange, Inc.",125579,118,Jeffrey Sprecher,14788386,Financials
2086,SLG,SL Green Realty Corp.,125475,168,Marc Holliday,21088057,Real Estate
1880,CLF,Cleveland-Cliffs Inc.,125396,195,Celso Goncalves,24494731,Materials
1811,SYNA,Synaptics Incorporated,125338,113,Michael Hurlston,14160936,Information Technology
2056,NXRT,"NexPoint Residential Trust, Inc.",125293,20,James Dondero,2473496,Real Estate
614,BGCP,"BGC Partners, Inc.",125232,158,Howard Lutnick,19831243,Financials
853,RGA,"Reinsurance Group of America, Incorporated",125152,129,Anna Manning,16109515,Financials
1137,NVCR,NovoCure Ltd.,125119,9,Asaf Danziger,1179283,Health Care
2150,NWE,NorthWestern Corporation,125063,28,Robert Rowe,3445367,Utilities
1996,CTO,"CTO Realty Growth, Inc.",125048,19,John Albright,2357788,Real Estate
1157,PHR,"Phreesia, Inc.",125000,71,Chaim Indig,8921227,Health Care
2019,FOR,Forestar Group Inc.,124983,22,Daniel Bartok,2710839,Real Estate
1768,PEGA,Pegasystems Inc.,124978,60,Alan Trefler,7517898,Information Technology
560,TRGP,Targa Resources Corp.,124880,118,Matthew Meloy,14691940,Energy
1275,BA,The Boeing Company,124844,169,David Calhoun,21093605,Industrials
2146,NI,NiSource Inc.,124663,76,Joseph Hamrock,9535782,Utilities
1847,XPER,"Adeia, Inc.",124260,82,Jon Kirchner,10241840,Information Technology
2138,FE,FirstEnergy Corp.,124120,86,Steven Strah,10714062,Utilities
2147,NJR,New Jersey Resources Corporation,124004,37,Stephen Westhoven,4612774,Utilities
235,LGIH,"LGI Homes, Inc.",123976,53,Eric Lipar,6526801,Consumer Discretionary
399,ELF,"e.l.f. Beauty, Inc.",123656,42,Tarang Amin,5234197,Consumer Staples
1986,BXP,"Boston Properties, Inc.",123647,104,Owen Thomas,12894537,Real Estate
334,TPH,"Tri Pointe Homes, Inc.",123121,61,Douglas Bauer,7496282,Consumer Discretionary
2088,SRC,"Spirit Realty Capital, Inc.",122763,102,Jackson Hsieh,12549978,Real Estate
2063,PDM,"Piedmont Office Realty Trust, Inc.",122622,29,Christopher Smith,3560678,Real Estate
2174,XEL,Xcel Energy Inc.,122532,68,Robert Frenzel,8350364,Utilities
2172,WEC,"WEC Energy Group, Inc.",122530,151,J. Fletcher,18481871,Utilities
83,VZ,Verizon Communications Inc.,122492,166,Hans Vestberg,20342871,Communication Services
502,EQT,EQT Corporation,122460,138,Toby Rice,16919763,Energy
1796,SCWX,SecureWorks Corp.,122377,85,Wendy Thomas,10359440,Information Technology
2004,DLR,"Digital Realty Trust, Inc.",122276,140,A. Stein,17139601,Real Estate
529,NC,"NACCO Industries, Inc.",122258,34,John Butler Jr.,4135014,Energy
217,IRBT,iRobot Corporation,122236,51,Colin Angle,6273391,Consumer Discretionary
1840,VSAT,"ViaSat, Inc.",122136,100,Richard Baldridge,12236750,Information Technology
2012,EQIX,"Equinix, Inc.",122075,190,Charles Meyers,23248193,Real Estate
24,EB,"Eventbrite, Inc.",122072,53,Julia Hartz,6500718,Communication Services
1276,BAH,Booz Allen Hamilton Holding Corporation,121742,97,Horacio Rozanski,11866337,Industrials
927,VOYA,"Voya Financial, Inc.",121489,132,Rodney Martin Jr.,16030105,Financials
656,CLBK,"Columbia Financial, Inc.",121439,18,Thomas Kemly,2131936,Financials
1771,PLUS,ePlus inc.,121364,40,Mark Marron,4900118,Information Technology
1569,ACLS,"Axcelis Technologies, Inc.",121361,34,Mary Puma,4078644,Information Technology
2020,FR,"First Industrial Realty Trust, Inc.",120575,43,Peter Baccile,5242451,Real Estate
264,MTH,Meritage Homes Corporation,120350,66,Phillippe Lord,7915603,Consumer Discretionary
1583,ALRM,"Alarm.com Holdings, Inc.",119955,30,Stephen Trundle,3613596,Information Technology
2028,HPP,"Hudson Pacific Properties, Inc.",119895,88,Victor Coleman,10548816,Real Estate
2033,INN,"Summit Hotel Properties, Inc.",119761,41,Jonathan Stanner,4932109,Real Estate
1449,NOC,Northrop Grumman Corporation,119721,166,Kathy Warden,19876767,Industrials
857,RLI,RLI Corp.,119617,50,Jonathan Michael,6004410,Financials
819,OPY,Oppenheimer Holdings Inc.,119500,92,Albert Lowenthal,11030203,Financials
1715,LRCX,Lam Research Corporation,119322,142,Timothy Archer,16941156,Information Technology
1714,LPSN,"LivePerson, Inc.",119104,44,Robert LoCascio,5195079,Information Technology
381,BRBR,"BellRing Brands, Inc.",118926,42,Darcy Davenport,5046013,Consumer Staples
2160,POR,Portland General Electric Company,118857,46,Maria Pope,5408355,Utilities
1700,IT,"Gartner, Inc.",118762,119,Eugene Hall,14096168,Information Technology
1591,ANSS,"ANSYS, Inc.",118588,154,Ajei Gopal,18260634,Information Technology
1694,IDCC,"InterDigital, Inc.",118366,91,Liren Chen,10824838,Information Technology
1862,ASIX,"Advansix, Inc.",118305,49,Erin Kane,5751844,Materials
86,WWE,"World Wrestling Entertainment, Inc.",118276,43,Vincent McMahon,5051547,Communication Services
500,EGY,"VAALCO Energy, Inc.",118258,6,George Mitchell Maxwell,657363,Energy
555,SWN,Southwestern Energy Company,118240,60,William Way,7077384,Energy
659,CNA,CNA Financial Corporation,118091,121,Dino Robusto,14246207,Financials
1890,ECVT,"Ecovyst, Inc.",117502,76,Belgacem Chariag,8953055,Materials
1858,AMRS,"Amyris, Inc.",117489,617,John Melo,72506627,Materials
1638,CSCO,"Cisco Systems, Inc.",117400,249,Charles Robbins,29283936,Information Technology
1248,AJRD,"Aerojet Rocketdyne Holdings, Inc.",117243,82,Eileen Drake,9639866,Industrials
6,ATVI,"Activision Blizzard, Inc.",117207,7,Robert Kotick,826549,Communication Services
1379,HSII,"Heidrick & Struggles International, Inc.",117138,47,Krishnan Rajagopalan,5518276,Industrials
1346,FORR,"Forrester Research, Inc.",117070,13,George Colony,1552268,Industrials
1643,CVLT,"Commvault Systems, Inc.",116953,92,Sanjay Mirchandani,10760212,Information Technology
489,CRK,"Comstock Resources, Inc.",116831,77,M. Allison,8955930,Energy
1999,CUZ,Cousins Properties Incorporated,116570,41,M. Connolly,4804609,Real Estate
2142,MGEE,"MGE Energy, Inc.",116162,23,Jeffrey Keebler,2628028,Utilities
1767,PDFS,"PDF Solutions, Inc.",116126,3,John Kibarian,400405,Information Technology
157,DHI,"D.R. Horton, Inc.",116088,258,David Auld,29996862,Consumer Discretionary
2131,DUK,Duke Energy Corporation,115895,142,Lynn Good,16451236,Utilities
970,ANIK,"Anika Therapeutics, Inc.",115858,36,Cheryl Blanchard,4202608,Health Care
868,SBNY,Signature Bank,115807,78,Joseph DePaolo,8975851,Financials
23,EA,Electronic Arts Inc.,115569,172,Andrew Wilson,19858539,Communication Services
2167,SWX,"Southwest Gas Holdings, Inc.",115501,49,John Hester,5674579,Utilities
1073,ILMN,"Illumina, Inc.",115398,124,Francis deSouza,14333634,Health Care
516,KMI,"Kinder Morgan, Inc.",115388,156,Steven Kean,18000259,Energy
1174,RGEN,Repligen Corporation,115218,67,Tony Hunt,7765070,Health Care
370,YETI,"YETI Holdings, Inc.",115152,67,Matthew Reintjes,7678474,Consumer Discretionary
847,PRU,"Prudential Financial, Inc.",114931,172,Charles Lowrey,19799737,Financials
2092,STOR,STORE Capital Corporation,114830,61,Mary Fedewa,7028435,Real Estate
687,EQH,"Equitable Holdings, Inc.",114825,124,Mark Pearson,14185032,Financials
837,PLMR,"Palomar Holdings, Inc.",114711,168,Mac Armstrong,19246250,Financials
2117,ALE,"ALLETE, Inc.",114667,22,Bethany Owen,2578539,Utilities
1974,ALEX,"Alexander & Baldwin, Inc.",114582,36,Christopher Benjamin,4136553,Real Estate
1106,MD,"Pediatrix Medical Group, Inc.",114440,60,Mark Ordan,6848969,Health Care
2069,PLD,"Prologis, Inc.",114183,218,Hamid Moghadam,24901490,Real Estate
19,DHX,"DHI Group, Inc.",114090,24,Art Zeile,2702822,Communication Services
491,CVI,"CVR Energy, Inc.",113675,34,David Lamp,3910359,Energy
2007,EGP,"EastGroup Properties, Inc.",113497,48,Marshall Loeb,5397019,Real Estate
2151,NWN,Northwest Natural Holding Co.,113241,33,David Anderson,3759354,Utilities
1992,CLDT,Chatham Lodging Trust,112958,42,Jeffrey Fisher,4737901,Real Estate
65,SATS,EchoStar Corporation,112859,16,Michael Dugan,1775101,Communication Services
1985,BRX,"Brixmor Property Group, Inc.",112576,74,James Taylor,8359959,Real Estate
707,FHI,"Federated Hermes, Inc.",112442,58,J. Donahue,6491866,Financials
1219,VCYT,"Veracyte, Inc.",112319,51,Marc Stapley,5741940,Health Care
1594,APPF,"AppFolio, Inc.",112319,13,Jason Randall,1461382,Information Technology
1287,CACI,CACI International Inc,112310,74,John Mengucci,8363317,Industrials
901,THG,"The Hanover Insurance Group, Inc.",112291,60,John Roche,6773668,Financials
1143,OMCL,"Omnicell, Inc.",112223,75,Randall Lipps,8437413,Health Care
2103,VRE,"Veris Residential, Inc.",112172,98,Mahbod Nia,10969103,Real Estate
1734,MSTR,MicroStrategy Incorporated,112166,25,Michael Saylor,2780241,Information Technology
1489,RTX,Raytheon Technologies Corp.,112078,208,Gregory Hayes,23316063,Industrials
1716,LSCC,Lattice Semiconductor Corporation,112020,164,James Anderson,18387422,Information Technology
1581,AKAM,"Akamai Technologies, Inc.",112018,107,F. Leighton,11951574,Information Technology
956,AGEN,Agenus Inc.,111952,87,Garo Armen,9757448,Health Care
1688,HCKT,"The Hackett Group, Inc.",111812,54,Ted Fernandez,6081600,Information Technology
1857,AMR,"Alpha Metallurgical Resources, Inc.",111777,32,David Stetson,3549785,Materials
751,HTBK,Heritage Commerce Corp,111772,15,Walter Kaczmarek,1659045,Financials
2114,AEP,"American Electric Power Company, Inc.",111771,135,Nicholas Akins,15051215,Utilities
2104,VTR,"Ventas, Inc.",111261,128,Debra Cafaro,14263728,Real Estate
2072,REG,Regency Centers Corporation,111237,63,Lisa Palmer,7026315,Real Estate
626,BRMK,"Broadmark Realty Capital, Inc.",111231,14,Jeffrey Pyatt,1596568,Financials
1158,PINC,"Premier, Inc.",111125,71,Michael Alkire,7857900,Health Care
1973,AKR,Acadia Realty Trust,111000,51,Kenneth Bernstein,5645279,Real Estate
129,CCS,"Century Communities, Inc.",110966,61,Dale Francescon,6753672,Consumer Discretionary
1845,WK,Workiva Inc.,110924,88,Martin Vanderploeg,9791270,Information Technology
123,BZH,"Beazer Homes USA, Inc.",110862,63,Allan Merrill,7038727,Consumer Discretionary
212,HOV,"Hovnanian Enterprises, Inc.",110849,113,Ara Hovnanian,12478182,Consumer Discretionary
1416,LHX,"L3Harris Technologies, Inc.",110846,142,Christopher Kubasik,15697749,Industrials
2141,LNT,Alliant Energy Corporation,110610,94,John Larsen,10449260,Utilities
639,CATC,Cambridge Bancorp,110510,18,Denis Sheahan,1966312,Financials
478,BTU,Peabody Energy Corporation,110472,38,James Grech,4239272,Energy
1036,EBS,Emergent BioSolutions Inc.,110416,63,Robert Kramer Sr.,6932077,Health Care
2129,D,"Dominion Energy, Inc.",110406,74,Robert Blue,8161083,Utilities
2171,VST,Vistra Corp.,110183,91,Curtis Morgan,10075627,Utilities
1606,AZPN,"Aspen Technology, Inc.",110126,206,Antonio Pietri,22635094,Information Technology
1418,LMT,Lockheed Martin Corporation,110113,164,James Taiclet Jr.,18111211,Industrials
2123,BKH,Black Hills Corporation,109940,40,Linden Evans,4440908,Utilities
2162,SJI,"South Jersey Industries, Inc.",109812,49,Michael Renna,5359523,Utilities
531,NEX,"NexTier Oilfield Solutions, Inc.",109603,65,Robert Drummond,7126991,Energy
910,TRV,"The Travelers Companies, Inc.",109586,181,Alan Schnitzer,19853697,Financials
2031,HT,Hersha Hospitality Trust,109401,51,Jay Shah,5598935,Real Estate
1966,X,United States Steel Corporation,109369,172,David Burritt,18824816,Materials
2058,OFC,Corporate Office Properties Trust,109360,50,Stephen Budorick,5502562,Real Estate
1585,AMAT,"Applied Materials, Inc.",109304,323,Gary Dickerson,35265559,Information Technology
871,SCHW,The Charles Schwab Corporation,109269,201,Walter Bettinger II,21938404,Financials
1873,CC,The Chemours Co.,109148,51,Mark Newman,5537669,Materials
1886,DD,"DuPont de Nemours, Inc.",108955,139,Edward Breen,15106986,Materials
1902,HL,Hecla Mining Company,108760,35,Phillips Baker Jr.,3765100,Materials
474,ARCH,"Arch Resources, Inc.",108573,86,Paul Lang,9299065,Energy
1410,KFY,Korn Ferry,108358,88,Gary Burnison,9529698,Industrials
506,FANG,"Diamondback Energy, Inc.",108354,128,Travis Stice,13839995,Energy
996,BLFS,"BioLife Solutions, Inc.",108193,21,Michael Rice,2249907,Health Care
905,TREE,"LendingTree, Inc.",108127,13,Douglas Lebda,1369813,Financials
2040,KIM,Kimco Realty Corporation,108000,97,Conor Flynn,10488138,Real Estate
2079,RYN,Rayonier Inc.,107896,49,David Nunes,5316481,Real Estate
689,ESGR,Enstar Group Limited,107894,48,Dominic Silvester,5189782,Financials
768,KNSL,"Kinsale Capital Group, Inc.",107880,28,Michael Kehoe,3028861,Financials
1306,CSX,CSX Corporation,107772,186,James Foote,20006806,Industrials
878,SIGI,"Selective Insurance Group, Inc.",107659,50,John Marchioni,5435625,Financials
508,GPOR,Gulfport Energy Corporation,107634,36,Timothy Cutt,3823399,Energy
72,T,AT&T Inc.,107570,231,John Stankey,24820879,Communication Services
931,WAL,Western Alliance Bancorporation,107513,68,Kenneth Vecchione,7323619,Financials
331,TMHC,Taylor Morrison Home Corp.,107478,112,Sheryl Palmer,12063477,Consumer Discretionary
496,DO,"Diamond Offshore Drilling, Inc.",107324,76,Bernie Wolford Jr.,8203466,Energy
691,EWBC,"East West Bancorp, Inc.",107255,81,Dominic Ng,8649172,Financials
1502,SPCE,"Virgin Galactic Holdings, Inc.",107145,69,Michael Colglazier,7405794,Industrials
2066,PECO,"Phillips Edison & Company, Inc.",106942,82,Jeffrey Edison,8807044,Real Estate
743,HIG,"The Hartford Financial Services Group, Inc.",106940,148,Christopher Swift,15824348,Financials
52,MTCH,"Match Group, Inc.",106881,238,Sharmistha Dubey,25397675,Communication Services
855,RJF,"Raymond James Financial, Inc.",106782,130,Paul Reilly,13901046,Financials
2127,CWEN,"Clearway Energy, Inc.",106778,29,Christopher Sotos,3092509,Utilities
1475,PWR,"Quanta Services, Inc.",106665,103,Earl Austin Jr.,10967217,Industrials
2039,JOE,The St. Joe Company,106361,13,Jorge Gonzalez,1383478,Real Estate
475,AROC,"Archrock, Inc.",106297,62,D. Childers,6609272,Energy
1917,LYB,LyondellBasell Industries NV,106258,179,Bhavesh V. Patel,19011033,Materials
598,ARGO,"Argo Group International Holdings, Ltd.",106192,38,Kevin Rehnberg,4048830,Financials
587,ALLY,Ally Financial Inc.,106166,146,Jeffrey Brown,15545746,Financials
1650,DGII,Digi International Inc.,106129,29,Ronald Konezny,3056878,Information Technology
693,FBIZ,"First Business Financial Services, Inc.",105973,15,Corey Chambas,1629663,Financials
1586,AMBA,"Ambarella, Inc.",105607,59,Feng-Ming Wang,6205867,Information Technology
654,CINF,Cincinnati Financial Corporation,105458,62,Steven Johnston,6490767,Financials
1942,SCL,Stepan Company,105330,51,"F. Stepan, Jr.",5380963,Materials
1707,KLAC,KLA Corporation,105278,195,Richard Wallace,20568625,Information Technology
1934,RFP,Resolute Forest Products Inc.,105213,38,Remi Lalonde,3979605,Materials
1479,RGP,"Resources Connection, Inc.",105208,44,Kate Duchene,4624537,Industrials
2173,WTRG,"Essential Utilities, Inc.",105003,51,Christopher Franklin,5339716,Utilities
731,GNW,"Genworth Financial, Inc.",104888,81,Thomas McInerney,8499379,Financials
577,AEL,American Equity Investment Life Holding Company,104681,73,Anant Bhalla,7625826,Financials
1773,POWI,"Power Integrations, Inc.",104639,63,Balu Balakrishnan,6564685,Information Technology
1625,CIEN,Ciena Corporation,104586,109,Gary Smith,11450851,Information Technology
2010,EPRT,"Essential Properties Realty Trust, Inc.",104414,56,Peter Mavoides,5893000,Real Estate
1697,INTC,Intel Corporation,104400,1711,Patrick Gelsinger,178590400,Information Technology
1670,EXTR,"Extreme Networks, Inc.",104281,85,Edward Meyercord III,8907184,Information Technology
1613,BLKB,"Blackbaud, Inc.",103954,114,Michael Gianoni,11810500,Information Technology
2169,UTL,Unitil Corporation,103872,23,Thomas Meissner Jr.,2426750,Utilities
619,BKU,"BankUnited, Inc.",103655,57,Rajinder Singh,5913787,Financials
1277,BBSI,"Barrett Business Services, Inc.",103568,29,Gary Kramer,3014992,Industrials
1622,CDW,CDW Corp.,103536,86,Christine Leahy,8943903,Information Technology
1790,RPAY,Repay Holdings Corporation,103523,52,John Morris,5426105,Information Technology
